Sample,ZFC ID,Target,Well,Data Set,Content,Type,Cq,Starting Quantity (SQ),Control,cDNA,fn,sample excluded,SQ,Absolute Quantity,Absolute Quantity SD,Mean Cq,Cq SD,Efficiency,Relative Quantity,Relative Quantity SD,Normalization Factor,Normalization Factor SD,Expression,Expression SD,Dose
96423_1000,96423,SOD1,K01,FAM,Unkn-61,Unk,22.6759081974665,51.4238126386033,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,51.42381263860228,50.57828509936267,2.752929063540324,22.703266914498926,0.08453635964282553,90.94998848889404,1.1754987562085126,0.06427816979271515,1.217162267070154,0.028900917524936946,0.9657699618293868,0.057573828148484836,1000
96423_3,96423,ATP,K11,Cy5,Unkn-66,Unk,23.9189382729408,47.4202424356856,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,47.42024243568651,54.49363578215145,8.30416632736305,23.72241270156895,0.23080627372522117,94.03659168891471,1.243974231508862,0.19032317056639939,,,,,3
96423_3,96423,EIF,K11,HEX,Unkn-66,Unk,25.0555114756393,44.0675734320437,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,44.067573432045315,51.46464698663258,6.946106662417297,24.8214768953615,0.21443775866746212,88.43220810680386,1.1893043941491872,0.1615799975753271,,,,,3
96423_3,96423,SOD1,K11,FAM,Unkn-66,Unk,22.8991958205627,44.508032328121,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,44.50803232812161,52.43138500019772,7.309814805513805,22.657319880027124,0.21749645196204576,90.94998848889404,1.210959443001251,0.17036467980660858,1.2163321995827652,0.12443796145885377,0.9955828213843576,0.17318266689159575,3
96423_30,96423,ATP,K07,Cy5,Unkn-64,Unk,23.8136328992434,50.8486543134718,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,50.848654313470945,49.469557266902534,2.8117983311766386,23.856957749672574,0.08634890257066191,94.03659168891471,1.1378317976849834,0.06512797258535818,,,,,30
96423_30,96423,EIF,K07,HEX,Unkn-64,Unk,24.7647408270557,52.9817348200759,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,52.98173482007723,49.99655269709007,3.7729485408682315,24.859798882428024,0.12313581054808535,88.43220810680386,1.1607762986637813,0.09055787435992353,,,,,30
96423_30,96423,SOD1,K07,FAM,Unkn-64,Unk,22.512661597402,57.1509492610748,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,57.15094926107553,54.31067349188587,4.896124290927534,22.596486176859425,0.1460852704840672,90.94998848889404,1.2595603471612509,0.1190208905536875,1.1492467892575255,0.05560084304968988,1.0959877016275972,0.11634911472593036,30
96423_300,96423,ATP,K03,Cy5,Unkn-62,Unk,23.6413788470723,56.9991772749328,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,56.99917727493073,52.943304035162264,3.515013423201243,23.7548996925769,0.09839110343794473,94.03659168891471,1.2174718014010073,0.07940491997231201,,,,,300
96423_300,96423,EIF,K03,HEX,Unkn-62,Unk,24.6372147971468,57.4401568162005,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,57.440156816200954,53.109801851613945,3.9728234842180465,24.763837071162133,0.11694440561979098,88.43220810680386,1.233539091967594,0.09139568299181317,,,,,300
96423_300,96423,SOD1,K03,FAM,Unkn-62,Unk,22.603974713617,53.8730794291364,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,53.87307942913709,49.68550349529241,3.6265575874030644,22.731746600770435,0.11065406150725218,90.94998848889404,1.1540421490096948,0.08260128746128607,1.2254791146308244,0.06048288954572081,0.9417069089401414,0.08187401074459262,300
96424_10,96424,ATP,M09,Cy5,Unkn-77,Unk,24.0183080463945,44.3973284832799,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,44.39732848328014,44.434829941919695,0.4325795222811784,24.0170878943472,0.014677458902985116,94.03659168891471,1.023244026055922,0.009955492764074592,,,,,10
96424_10,96424,EIF,M09,HEX,Unkn-77,Unk,25.0578261852189,44.0029945463235,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,44.00299454632288,45.169557691683394,1.5405258637863146,25.01720803585645,0.05337717381317595,88.43220810680386,1.0505980602979872,0.03552920455646064,,,,,10
96424_10,96424,SOD1,M09,FAM,Unkn-77,Unk,22.8622078909891,45.5857422458614,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,45.585742245859926,45.3296112656017,0.7313612165581481,22.8710693695072,0.024913377342518406,90.94998848889404,1.0545888353641497,0.01699470231609449,1.036830839137154,0.018242937409572113,1.017127187537915,0.02426810720371312,10
96424_100,96424,ATP,M05,Cy5,Unkn-75,Unk,24.3901549796084,34.6982994256212,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,34.69829942562193,36.04999947806725,1.8087727363846613,24.333893100379576,0.07432912341941583,94.03659168891471,0.8294232071805849,0.04086653949760742,,,,,100
96424_100,96424,EIF,M05,HEX,Unkn-75,Unk,25.347456199777,36.6259624822743,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,36.62596248227459,37.4698847498534,0.933313813246232,25.311864186457875,0.03900550461481091,88.43220810680386,0.8716867429098039,0.02154168427199942,,,,,100
96424_100,96424,SOD1,M05,FAM,Unkn-75,Unk,23.1440073657459,37.9897140426753,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,37.98971404267576,38.881582866130564,2.9778007720148456,23.111404153898775,0.1150092933868407,90.94998848889404,0.902751895511592,0.06715821286425488,0.8502924284980123,0.023434580828144334,1.0616957945941563,0.0842284930033794,100
96424_1000,96424,ATP,M01,Cy5,Unkn-73,Unk,23.7089608536173,54.5020494262419,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,54.50204942624261,52.91572359531697,2.075353686276676,23.754391178380175,0.05917074388151143,94.03659168891471,1.2178822585855487,0.04776887389560662,,,,,1000
